user_id,kp_id,question_id,difficulty,type,recent_correct_rate,recent_attempts,recent_avg_duration_ms,is_correct
2,5,7,0.42,mcq,0.200,5,18229,1
2,10,130,0.41,blank,0.500,2,16979,0
2,8,28,0.50,mcq,0.500,2,12857,0
2,3,61,0.59,blank,0.000,2,15693,0
2,9,268,0.47,mcq,1.000,1,11215,1
2,7,157,0.26,mcq,0.333,3,16640,0
2,10,107,0.27,mcq,0.333,3,18206,0
2,11,39,0.51,blank,1.000,1,11191,1
2,3,119,0.65,mcq,0.000,3,18007,0
2,5,136,0.38,mcq,0.333,6,17325,1
2,11,116,0.18,blank,1.000,2,14962,1
2,11,158,0.53,blank,1.000,3,12872,1
2,10,156,0.45,blank,0.250,4,17126,1
2,12,21,0.33,mcq,0.250,4,18067,1
2,7,295,0.43,blank,0.250,4,16731,1
2,10,21,0.90,mcq,0.400,5,15928,0
2,3,300,0.19,mcq,0.000,4,18707,1
2,7,171,0.31,blank,0.400,5,15530,1
2,6,148,0.28,blank,1.000,2,18294,1
2,11,162,0.76,mcq,1.000,4,13900,0
2,5,1,0.24,mcq,0.429,7,16242,1
2,11,256,0.59,blank,0.800,5,15236,0
2,11,148,0.40,blank,0.667,6,15697,1
2,8,123,0.60,blank,0.333,3,15105,0
2,12,59,0.57,mcq,0.400,5,17281,1
2,8,150,0.70,blank,0.250,4,15894,0
2,9,234,0.40,mcq,1.000,2,11241,1
2,9,70,0.52,mcq,1.000,3,11257,0
2,2,260,0.40,mcq,0.500,2,16231,0
2,5,251,0.51,blank,0.500,8,16436,1
2,3,194,0.25,blank,0.200,5,17363,0
2,8,197,0.78,mcq,0.200,5,16749,1
2,4,196,0.56,blank,0.000,2,22568,0
2,7,19,0.77,mcq,0.500,6,14701,1
2,3,226,0.21,mcq,0.167,6,17302,0
2,2,80,0.25,mcq,0.333,3,18197,1
2,2,42,0.10,blank,0.500,4,16546,1
2,6,250,0.66,blank,1.000,3,14869,1
2,9,117,0.52,mcq,0.750,4,13579,0
2,12,52,0.87,mcq,0.500,6,17491,0
2,8,29,0.53,blank,0.333,6,16676,1
2,5,93,0.33,blank,0.556,9,16089,1
2,3,255,0.56,blank,0.143,7,17040,0
2,10,5,0.57,blank,0.333,6,16741,1
2,8,177,0.67,blank,0.429,7,16742,0
2,10,155,0.31,mcq,0.429,7,16930,1
2,4,184,0.80,blank,0.000,3,20962,0
2,10,203,0.37,blank,0.500,8,17165,0
2,5,255,0.81,mcq,0.600,10,15981,0
2,5,98,0.47,mcq,0.600,10,16463,1
3,5,188,0.36,blank,0.000,0,0,0
3,9,247,0.31,blank,0.000,0,0,0
3,5,73,0.45,blank,0.000,1,19657,0
3,4,286,0.63,mcq,0.000,0,0,0
3,6,189,0.60,blank,0.000,0,0,1
3,11,191,0.45,blank,0.000,0,0,1
3,2,168,0.36,mcq,0.000,0,0,0
3,10,155,0.46,mcq,0.000,0,0,0
3,11,253,0.37,mcq,1.000,1,12439,1
3,2,277,0.76,blank,0.000,1,14775,0
3,7,251,0.20,mcq,0.000,0,0,1
3,10,228,0.10,blank,0.000,1,19427,1
3,8,279,0.79,blank,0.000,0,0,0
3,11,233,0.34,blank,1.000,2,13296,1
3,2,171,0.32,mcq,0.000,2,19933,1
3,4,284,0.77,blank,0.000,1,17522,0
3,4,2,0.17,blank,0.000,2,19701,1
3,5,90,0.51,blank,0.000,2,17870,1
3,2,122,0.43,blank,0.333,3,16532,0
3,10,270,0.40,blank,0.500,2,16492,0
3,2,56,0.44,mcq,0.250,4,16812,1
3,8,267,0.10,blank,0.000,1,20940,1
3,5,206,0.10,blank,0.333,3,16604,1
3,7,42,0.37,mcq,1.000,1,9331,1
3,6,281,0.40,blank,1.000,1,17570,1
3,12,221,0.19,mcq,0.000,0,0,1
3,2,283,0.47,mcq,0.400,5,15747,0
3,12,233,0.58,mcq,1.000,1,18419,1
3,7,192,0.38,mcq,1.000,2,10039,1
3,3,222,0.37,blank,0.000,0,0,1
3,2,288,0.44,blank,0.333,6,16039,1
3,9,217,0.41,blank,0.000,1,16654,1
3,12,260,0.59,blank,1.000,2,16177,1
3,4,285,0.57,mcq,0.333,3,16016,1
3,6,288,0.56,blank,1.000,2,15385,1
3,10,137,0.25,blank,0.333,3,17389,0
3,1,4,0.57,blank,0.000,0,0,1
3,3,16,0.61,mcq,1.000,1,10838,1
3,2,190,0.45,mcq,0.429,7,15450,1
3,5,27,0.39,mcq,0.500,4,15423,1
3,3,218,0.59,mcq,1.000,2,12394,1
3,8,177,0.30,blank,0.500,2,15497,1
3,7,158,0.66,mcq,1.000,3,11402,1
3,1,109,0.55,blank,1.000,1,19351,1
3,3,221,0.46,blank,1.000,3,14577,1
3,3,182,0.60,blank,1.000,4,14057,1
3,2,40,0.21,mcq,0.500,8,15096,1
3,6,59,0.24,mcq,1.000,3,15938,1
3,7,186,0.61,mcq,1.000,4,13378,0
3,2,41,0.37,mcq,0.556,9,14979,1
3,7,40,0.65,blank,0.800,5,14820,0
3,9,180,0.30,blank,0.500,2,15822,1
3,12,132,0.70,blank,1.000,3,16365,1
3,4,253,0.50,mcq,0.500,4,16553,1
3,8,290,0.46,mcq,0.667,3,14011,0
3,11,78,0.28,mcq,1.000,3,13857,1
3,8,29,0.63,blank,0.500,4,14078,1
3,6,147,0.29,mcq,1.000,4,14553,1
3,2,197,0.15,blank,0.600,10,14872,1
3,8,293,0.10,mcq,0.600,5,14791,1
3,11,231,0.54,mcq,1.000,4,12836,0
3,2,89,0.58,mcq,0.700,10,13927,1
3,1,82,0.45,mcq,1.000,2,20994,1
3,6,27,0.35,mcq,1.000,5,14130,1
3,11,146,0.41,blank,0.800,5,14802,1
3,5,171,0.41,mcq,0.600,5,14233,0
3,2,201,0.36,blank,0.800,10,12569,0
3,3,169,0.10,blank,1.000,5,14940,1
3,3,270,0.29,mcq,1.000,6,13597,1
3,2,93,0.34,blank,0.700,10,13264,1
3,4,80,0.28,blank,0.600,5,16493,0
3,2,270,0.36,mcq,0.800,10,12593,1
3,1,79,0.26,mcq,1.000,3,19700,1
3,3,225,0.57,mcq,1.000,7,12844,0
3,1,146,0.22,blank,1.000,4,16707,1
3,12,241,0.48,blank,1.000,4,16390,0
3,4,145,0.16,mcq,0.500,6,17071,1
3,7,71,0.26,blank,0.667,6,15324,1
3,5,265,0.65,blank,0.500,6,14240,0
3,2,76,0.38,blank,0.800,10,13198,0
4,2,147,0.59,mcq,0.000,0,0,1
4,8,3,0.42,mcq,0.000,0,0,1
4,2,271,0.57,blank,1.000,1,12994,0
4,7,215,0.56,blank,0.000,0,0,1
4,11,275,0.50,blank,0.000,0,0,0
4,1,1,0.29,mcq,0.000,0,0,1
4,10,269,0.31,blank,0.000,0,0,1
4,6,284,0.65,mcq,0.000,0,0,0
4,1,130,0.29,mcq,1.000,1,10079,0
4,12,54,0.77,blank,0.000,0,0,0
4,10,90,0.43,blank,1.000,1,15304,1
4,11,33,0.18,mcq,0.000,1,16391,1
4,12,103,0.48,blank,0.000,1,22635,1
4,1,243,0.39,blank,0.500,2,14193,0
4,5,25,0.70,blank,0.000,0,0,0
4,11,226,0.40,blank,0.500,2,14195,0
4,7,266,0.39,mcq,1.000,1,17088,1
4,5,93,0.54,blank,0.000,1,22256,1
4,9,229,0.43,blank,0.000,0,0,1
4,10,181,0.43,mcq,1.000,2,13642,1
4,10,39,0.59,mcq,1.000,3,13313,0
4,11,16,0.34,mcq,0.333,3,15788,1
4,3,121,0.61,mcq,0.000,0,0,1
4,11,231,0.33,mcq,0.500,4,14656,1
4,6,204,0.24,mcq,0.000,1,22064,1
4,6,256,0.37,blank,0.500,2,18488,1
4,9,229,0.27,blank,1.000,1,15246,1
4,4,63,0.60,mcq,0.000,0,0,1
4,3,45,0.57,mcq,1.000,1,13225,1
4,11,282,0.90,mcq,0.600,5,14687,0
4,9,90,0.41,blank,1.000,2,14817,1
4,6,253,0.36,blank,0.667,3,16293,1
4,1,67,0.30,mcq,0.333,3,16004,0
4,10,246,0.50,blank,0.750,4,15011,0
4,9,163,0.29,mcq,1.000,3,15206,1
4,11,283,0.63,mcq,0.500,6,15958,1
4,11,29,0.19,blank,0.571,7,16223,1
4,2,116,0.30,blank,0.500,2,16547,1
4,6,101,0.66,blank,0.750,4,15528,1
4,11,48,0.59,mcq,0.625,8,15322,0
4,9,173,0.30,mcq,1.000,4,14876,1
4,10,296,0.80,blank,0.600,5,15685,0
4,5,255,0.27,mcq,0.500,2,16966,1
4,11,208,0.20,blank,0.556,9,15789,1
4,5,238,0.19,blank,0.667,3,14238,1
4,4,177,0.40,mcq,1.000,1,16123,1
4,7,239,0.57,mcq,1.000,2,16056,1
4,2,197,0.44,blank,0.667,3,15141,1
4,10,296,0.10,mcq,0.500,6,17045,1
4,12,256,0.33,mcq,0.500,2,17348,1
4,5,124,0.37,blank,0.750,4,13763,1
4,4,241,0.40,blank,1.000,2,15525,1
4,5,188,0.11,mcq,0.800,5,13706,1
4,7,284,0.33,mcq,1.000,3,16562,1
4,5,61,0.64,mcq,0.833,6,12958,1
4,3,188,0.63,mcq,1.000,2,13430,1
4,3,71,0.52,mcq,1.000,3,14335,1
4,12,264,0.35,mcq,0.667,3,17202,1
4,3,154,0.33,blank,1.000,4,15261,0
4,10,154,0.28,mcq,0.571,7,16518,1
4,8,299,0.52,mcq,1.000,1,12718,0
4,5,243,0.53,mcq,0.857,7,13679,1
4,5,27,0.76,mcq,0.875,8,13414,1
4,10,195,0.23,mcq,0.625,8,16493,1
4,3,98,0.51,mcq,0.800,5,16216,1
4,1,257,0.28,mcq,0.250,4,16776,1
4,10,71,0.77,mcq,0.667,9,16012,1
4,9,161,0.49,mcq,1.000,5,13896,1
4,3,136,0.23,mcq,0.833,6,15751,1
4,10,153,0.10,blank,0.700,10,15992,1
4,5,287,0.37,mcq,0.889,9,13834,1
4,12,203,0.44,mcq,0.750,4,16810,1
4,6,41,0.76,blank,0.800,5,15600,1
4,6,276,0.68,mcq,0.833,6,15812,1
4,5,123,0.70,blank,0.900,10,13431,1
4,4,52,0.82,blank,1.000,3,14821,1
4,7,282,0.35,mcq,1.000,4,16130,1
4,3,103,0.10,mcq,0.857,7,15299,1
4,5,294,0.34,mcq,1.000,10,12792,1
4,4,90,0.17,mcq,1.000,4,16254,1
5,6,69,0.33,mcq,0.000,0,0,1
5,9,235,0.33,blank,0.000,0,0,1
5,11,291,0.44,mcq,0.000,0,0,0
5,11,219,0.46,mcq,0.000,1,19939,0
5,9,245,0.36,blank,1.000,1,13340,0
5,6,137,0.47,blank,1.000,1,20339,1
5,6,121,0.36,blank,1.000,2,17428,0
5,1,160,0.35,blank,0.000,0,0,1
5,12,113,0.75,blank,0.000,0,0,0
5,3,282,0.25,mcq,0.000,0,0,1
5,8,42,0.46,mcq,0.000,0,0,0
5,9,32,0.18,blank,0.500,2,16472,1
5,9,267,0.55,mcq,0.667,3,15147,1
5,8,262,0.54,mcq,0.000,1,14084,1
5,8,30,0.52,mcq,0.500,2,15352,1
5,9,2,0.13,mcq,0.750,4,15016,1
5,12,278,0.46,mcq,0.000,1,25701,0
5,1,210,0.51,mcq,1.000,1,10773,1
5,3,216,0.49,mcq,1.000,1,12418,0
5,6,193,0.63,mcq,0.667,3,18646,0
5,2,179,0.34,mcq,0.000,0,0,1
5,2,115,0.55,mcq,1.000,1,9737,0
5,1,218,0.47,mcq,1.000,2,12771,0
5,9,97,0.36,mcq,0.800,5,14343,1
5,12,9,0.45,mcq,0.000,2,22611,1
5,4,25,0.47,blank,0.000,0,0,1
5,4,29,0.44,blank,1.000,1,15780,1
5,3,164,0.30,mcq,0.500,2,13512,0
5,10,74,0.23,blank,0.000,0,0,1
5,11,90,0.27,blank,0.000,2,18424,1
5,11,196,0.35,blank,0.333,3,16230,1
5,9,276,0.37,blank,0.833,6,14371,1
5,8,238,0.46,mcq,0.667,3,14465,1
5,1,125,0.10,mcq,0.667,3,12417,1
5,5,48,0.53,mcq,0.000,0,0,0
5,9,21,0.43,blank,0.857,7,14577,0
5,2,246,0.57,mcq,0.500,2,16048,1
5,4,98,0.56,mcq,1.000,2,13758,1
5,12,105,0.90,mcq,0.333,3,19679,1
5,7,274,0.65,mcq,0.000,0,0,1
5,11,51,0.36,mcq,0.500,4,14757,1
5,12,212,0.11,mcq,0.500,4,21364,1
5,1,300,0.33,blank,0.750,4,11237,1
5,10,292,0.42,blank,1.000,1,9608,1
5,4,251,0.19,mcq,1.000,3,13865,1
5,12,87,0.32,blank,0.600,5,19341,0
5,3,31,0.41,mcq,0.333,3,14529,0
5,9,4,0.79,mcq,0.750,8,14827,0
5,7,112,0.62,blank,1.000,1,15146,1
5,9,248,0.39,mcq,0.667,9,15791,0
5,11,272,0.43,mcq,0.600,5,14773,1
5,12,221,0.37,blank,0.500,6,18545,0
5,3,270,0.51,blank,0.250,4,14670,1
5,5,208,0.51,blank,0.000,1,22752,1
5,8,42,0.10,blank,0.750,4,14916,1
5,11,194,0.71,blank,0.667,6,14673,0
5,9,223,0.20,mcq,0.600,10,16003,1
5,11,271,0.50,mcq,0.571,7,15624,1
5,1,139,0.50,mcq,0.800,5,11451,1
5,1,17,0.69,blank,0.833,6,12930,0
5,3,204,0.59,mcq,0.400,5,14908,0
5,2,277,0.38,mcq,0.667,3,17266,0
5,6,41,0.23,mcq,0.500,4,19086,1
5,9,39,0.45,blank,0.600,10,15858,1
5,6,168,0.25,mcq,0.600,5,18167,0
5,1,284,0.24,mcq,0.714,7,13879,1
5,7,152,0.20,mcq,1.000,2,17104,1
5,4,79,0.43,blank,1.000,4,13215,1
5,12,228,0.32,blank,0.429,7,19364,0
5,6,286,0.46,blank,0.500,6,17461,1
5,9,167,0.37,blank,0.700,10,15102,1
5,7,287,0.64,mcq,1.000,3,15736,0
5,4,155,0.35,blank,1.000,5,13209,1
5,5,248,0.38,mcq,0.500,2,18010,1
5,2,101,0.17,mcq,0.500,4,18104,1
5,8,195,0.57,mcq,0.800,5,13368,1
5,6,70,0.27,mcq,0.571,7,16868,1
5,5,204,0.26,blank,0.667,3,16559,1
5,6,125,0.38,mcq,0.625,8,16415,1
5,6,289,0.21,blank,0.667,9,16509,1
6,11,217,0.20,blank,0.000,0,0,1
6,7,260,0.90,mcq,0.000,0,0,0
6,12,275,0.41,mcq,0.000,0,0,0
6,10,182,0.40,mcq,0.000,0,0,0
6,3,205,0.42,mcq,0.000,0,0,0
6,6,262,0.64,blank,0.000,0,0,1
6,12,201,0.21,mcq,0.000,1,18220,1
6,8,13,0.48,mcq,0.000,0,0,1
6,8,73,0.60,mcq,1.000,1,11502,1
6,6,244,0.37,blank,1.000,1,16071,1
6,2,59,0.19,blank,0.000,0,0,1
6,1,125,0.60,mcq,0.000,0,0,1
6,9,119,0.50,mcq,0.000,0,0,0
6,7,102,0.37,mcq,0.000,1,27227,1
6,8,33,0.30,mcq,1.000,2,14629,1
6,10,235,0.74,blank,0.000,1,17006,0
6,2,199,0.42,mcq,1.000,1,12774,0
6,10,89,0.38,blank,0.000,2,20972,0
6,11,69,0.41,mcq,1.000,1,11355,1
6,6,262,0.56,blank,1.000,2,16059,0
6,7,276,0.36,blank,0.500,2,19753,1
6,12,148,0.81,blank,0.500,2,14701,1
6,3,5,0.58,mcq,0.000,1,17406,0
6,8,254,0.67,mcq,1.000,3,13501,0
6,7,43,0.38,mcq,0.667,3,17850,1
6,10,276,0.75,blank,0.000,3,20094,0
6,5,282,0.55,mcq,0.000,0,0,0
6,9,188,0.52,mcq,0.000,1,20296,0
6,9,218,0.47,mcq,0.000,2,20152,1
6,2,17,0.43,blank,0.500,2,17903,0
6,8,61,0.42,blank,0.750,4,16244,0
6,4,220,0.52,mcq,0.000,0,0,0
6,3,292,0.21,mcq,0.000,2,20917,1
6,6,150,0.21,blank,0.667,3,17772,0
6,5,49,0.10,mcq,0.000,1,21981,1
6,3,65,0.76,mcq,0.333,3,16830,0
6,12,202,0.54,mcq,0.667,3,15117,0
6,8,39,0.61,mcq,0.600,5,17598,1
6,11,189,0.54,mcq,1.000,2,11619,0
6,8,48,0.60,blank,0.667,6,17843,0
6,12,274,0.70,mcq,0.500,4,15857,0
6,7,146,0.49,blank,0.750,4,16169,1
6,6,25,0.36,mcq,0.500,4,17046,0
6,1,81,0.71,mcq,1.000,1,13287,1
6,8,68,0.10,mcq,0.571,7,18086,0
6,11,185,0.33,mcq,0.667,3,12849,1
6,5,157,0.68,mcq,0.500,2,14729,1
6,12,1,0.41,mcq,0.400,5,16846,0
6,4,5,0.35,blank,0.000,1,23241,0
6,1,68,0.34,mcq,1.000,2,16656,1
6,8,161,0.61,mcq,0.500,8,17862,1
6,6,69,0.52,mcq,0.400,5,17021,0
6,11,85,0.55,mcq,0.750,4,14090,1
6,8,227,0.38,mcq,0.556,9,17807,0
6,4,197,0.52,mcq,0.000,2,20346,0
6,6,44,0.60,blank,0.333,6,17240,1
6,4,14,0.22,mcq,0.000,3,20179,0
6,11,201,0.54,mcq,0.800,5,14379,1
6,5,198,0.26,mcq,0.667,3,16153,1
6,2,7,0.46,blank,0.333,3,16767,0
6,6,188,0.54,mcq,0.429,7,17024,1
6,9,9,0.33,mcq,0.333,3,18108,1
6,10,204,0.58,blank,0.000,4,20770,1
6,9,206,0.39,mcq,0.500,4,15839,1
6,2,41,0.31,blank,0.250,4,18108,1
6,9,34,0.88,blank,0.600,5,16165,0
6,5,45,0.36,mcq,0.750,4,14271,1
6,7,90,0.63,blank,0.800,5,16426,0
6,2,178,0.55,blank,0.400,5,16545,0
6,9,138,0.12,blank,0.500,6,16856,1
6,12,140,0.68,blank,0.333,6,16733,0
6,9,234,0.71,mcq,0.571,7,15863,1
6,9,131,0.31,mcq,0.625,8,16265,1
6,2,2,0.66,blank,0.333,6,17067,0
6,1,77,0.47,blank,1.000,3,14012,1
6,3,215,0.77,mcq,0.250,4,17889,0
6,4,40,0.37,mcq,0.000,4,18765,1
6,10,265,0.30,mcq,0.200,5,19964,1
6,1,160,0.52,mcq,1.000,4,14086,1
6,6,156,0.62,blank,0.500,8,16760,1
7,11,193,0.65,mcq,0.000,0,0,1
7,12,252,0.44,mcq,0.000,0,0,1
7,1,119,0.55,blank,0.000,0,0,1
7,9,298,0.12,mcq,0.000,0,0,1
7,2,32,0.19,blank,0.000,0,0,1
7,7,202,0.40,blank,0.000,0,0,0
7,12,104,0.53,mcq,1.000,1,13095,1
7,3,239,0.49,blank,0.000,0,0,1
7,6,158,0.26,mcq,0.000,0,0,1
7,8,21,0.44,blank,0.000,0,0,1
7,4,183,0.53,blank,0.000,0,0,1
7,7,16,0.18,blank,0.000,1,16673,0
7,7,53,0.59,mcq,0.000,2,15759,1
7,3,102,0.50,mcq,1.000,1,11679,1
7,7,133,0.27,mcq,0.333,3,15025,1
7,2,66,0.52,mcq,1.000,1,11203,1
7,2,237,0.73,blank,1.000,2,13254,1
7,1,16,0.57,mcq,1.000,1,15341,1
7,7,144,0.40,blank,0.500,4,14974,1
7,8,152,0.49,mcq,1.000,1,15554,1
7,8,71,0.26,blank,1.000,2,14968,1
7,7,279,0.57,mcq,0.600,5,14469,1
7,1,249,0.76,blank,1.000,2,16986,0
7,6,164,0.63,blank,1.000,1,13888,1
7,10,242,0.52,mcq,0.000,0,0,1
7,9,127,0.30,blank,1.000,1,13236,1
7,11,113,0.46,mcq,1.000,1,12429,0
7,10,89,0.63,blank,1.000,1,20503,0
7,3,15,0.46,mcq,1.000,2,13625,1
7,12,97,0.32,mcq,1.000,2,13252,1
7,8,113,0.34,blank,1.000,3,14556,1
7,1,67,0.44,mcq,0.667,3,18614,1
7,6,12,0.37,mcq,1.000,2,14462,1
7,3,187,0.11,mcq,1.000,3,14663,1
7,2,155,0.15,blank,1.000,3,13875,1
7,6,250,0.52,mcq,1.000,3,12281,0
7,11,183,0.33,mcq,0.500,2,17030,0
7,4,151,0.28,blank,1.000,1,13477,1
7,3,291,0.45,mcq,1.000,4,12843,1
7,1,290,0.52,mcq,0.750,4,17536,1
7,2,164,0.54,mcq,1.000,4,14167,1
7,3,172,0.15,mcq,1.000,5,13192,1
7,8,56,0.57,mcq,1.000,4,14091,1
7,12,212,0.63,mcq,1.000,3,11173,0
7,8,296,0.57,blank,1.000,5,14473,0
7,11,18,0.46,mcq,0.333,3,18214,0
7,5,193,0.59,blank,0.000,0,0,1
7,3,248,0.42,mcq,1.000,6,11979,1
7,12,81,0.87,blank,0.750,4,13518,0
7,1,277,0.55,blank,0.800,5,17464,0
7,5,282,0.37,blank,1.000,1,16311,1
7,8,246,0.55,mcq,0.833,6,15112,1
7,4,243,0.55,mcq,1.000,2,10956,0
7,2,47,0.39,mcq,1.000,5,14326,1
7,11,229,0.34,mcq,0.250,4,17834,1
7,1,32,0.43,blank,0.667,6,17984,1
7,3,278,0.45,blank,1.000,7,11834,1
7,7,268,0.69,mcq,0.667,6,15513,0
7,7,121,0.72,mcq,0.571,7,16243,0
7,8,293,0.40,mcq,0.857,7,15454,1
7,9,230,0.53,mcq,1.000,2,14216,1
7,3,22,0.55,blank,1.000,8,11696,1
7,7,76,0.69,blank,0.500,8,16813,0
7,10,199,0.43,mcq,0.500,2,18715,1
7,9,7,0.32,blank,1.000,3,13423,1
7,12,76,0.29,mcq,0.600,5,15738,1
7,10,289,0.19,mcq,0.667,3,19028,1
7,2,136,0.53,mcq,1.000,6,14600,0
7,7,207,0.32,mcq,0.444,9,17509,1
7,3,170,0.25,mcq,1.000,9,12082,1
7,12,11,0.47,mcq,0.667,6,14847,0
7,6,51,0.51,blank,0.750,4,14294,1
7,4,138,0.77,mcq,0.667,3,14164,0
7,12,209,0.23,blank,0.571,7,15984,1
7,12,82,0.23,blank,0.625,8,15673,1
7,2,292,0.37,blank,0.857,7,14581,0
7,1,17,0.62,blank,0.714,7,17841,1
7,8,238,0.61,blank,0.875,8,15539,1
7,9,251,0.12,mcq,1.000,4,13617,1
7,10,177,0.10,mcq,0.750,4,16543,1
8,7,243,0.10,mcq,0.000,0,0,1
8,3,157,0.30,blank,0.000,0,0,1
8,12,179,0.70,mcq,0.000,0,0,0
8,8,204,0.45,mcq,0.000,0,0,0
8,10,192,0.62,mcq,0.000,0,0,0
8,9,33,0.30,blank,0.000,0,0,1
8,6,153,0.71,mcq,0.000,0,0,0
8,4,207,0.63,mcq,0.000,0,0,0
8,11,152,0.41,blank,0.000,0,0,1
